account_id,customer_id,account_type,currency,account_status,mobile_banking_flag,internet_banking_flag,atm_card_flag,checkbook_flag
ACC000000001,1,USD Nostro,USD,Active,1,1,1,0
ACC000000002,2,Current,USD,Active,1,0,0,0
ACC000000003,3,Mobile Wallet,USD,Restricted,1,0,1,1
ACC000000004,4,Mobile Wallet,ZWG,Active,0,1,1,0
ACC000000005,5,Mobile Wallet,ZWG,Active,1,1,1,1
ACC000000006,6,Mobile Wallet,ZWG,Dormant,1,0,0,0
ACC000000007,7,Corporate Current,USD,Active,1,0,1,1
ACC000000008,8,Mobile Wallet,ZWG,Active,1,1,1,0
ACC000000009,9,Corporate Current,ZWG,Restricted,1,1,0,0
ACC000000010,10,USD Nostro,USD,Active,1,1,1,1
ACC000000011,11,Savings,ZWG,Active,1,1,0,1
ACC000000012,12,Corporate Current,USD,Active,1,1,1,1
ACC000000013,13,Corporate Current,USD,Dormant,1,1,1,0
ACC000000014,14,Savings,ZWG,Active,1,1,0,0
ACC000000015,15,Corporate Current,ZWG,Active,0,0,1,0
ACC000000016,16,Current,USD,Active,0,1,1,0
ACC000000017,17,Corporate Current,USD,Active,1,1,1,0
ACC000000018,18,Call Account,ZWG,Active,1,0,1,0
ACC000000019,19,Call Account,USD,Active,1,0,1,0
ACC000000020,20,Current,USD,Active,0,1,1,1
ACC000000021,21,Current,USD,Active,1,0,1,1
ACC000000022,22,Mobile Wallet,ZWG,Active,0,1,1,1
ACC000000023,23,Corporate Current,ZWG,Active,1,0,1,0
ACC000000024,24,Call Account,USD,Active,1,1,1,0
ACC000000025,25,USD Nostro,USD,Active,1,0,1,0
ACC000000026,26,USD Nostro,EUR,Active,1,0,1,1
ACC000000027,27,USD Nostro,USD,Active,0,0,1,0
ACC000000028,28,Current,USD,Active,0,0,0,1
ACC000000029,29,Corporate Current,EUR,Dormant,0,1,1,0
ACC000000030,30,Current,EUR,Active,1,1,1,1
ACC000000031,31,Corporate Current,ZAR,Active,1,0,1,0
ACC000000032,32,Current,USD,Active,0,0,0,0
ACC000000033,33,Current,USD,Active,1,1,1,1
ACC000000034,34,Corporate Current,ZAR,Active,1,0,1,0
ACC000000035,35,Money Market,USD,Active,1,1,0,1
ACC000000036,36,USD Nostro,USD,Active,1,1,1,0
ACC000000037,37,Savings,USD,Active,1,1,1,0
ACC000000038,38,Corporate Current,USD,Active,1,0,1,1
ACC000000039,39,Current,ZAR,Active,1,0,1,1
ACC000000040,40,Current,USD,Active,1,1,1,1
ACC000000041,41,Savings,USD,Active,1,1,1,0
ACC000000042,42,Mobile Wallet,ZAR,Active,1,1,1,1
ACC000000043,43,Money Market,ZWG,Active,0,1,1,0
ACC000000044,44,USD Nostro,USD,Active,1,1,1,1
ACC000000045,45,Mobile Wallet,USD,Dormant,1,1,1,1
ACC000000046,46,Mobile Wallet,USD,Active,1,0,1,0
ACC000000047,47,Corporate Current,USD,Dormant,1,1,1,0
ACC000000048,48,Corporate Current,USD,Active,1,1,1,0
ACC000000049,49,Corporate Current,USD,Dormant,1,1,0,0
ACC000000050,50,Current,USD,Dormant,1,0,0,0
ACC000000051,51,Current,ZWG,Active,1,1,1,1
ACC000000052,52,Current,USD,Active,0,0,1,1
ACC000000053,53,Mobile Wallet,USD,Restricted,1,0,1,1
ACC000000054,54,Savings,ZWG,Active,1,1,1,0
ACC000000055,55,Money Market,ZWG,Active,1,1,1,0
ACC000000056,56,Corporate Current,ZAR,Active,1,1,0,1
ACC000000057,57,Corporate Current,EUR,Active,1,1,0,0
ACC000000058,58,Call Account,USD,Active,1,1,1,0
ACC000000059,59,Current,ZWG,Active,1,1,0,0
ACC000000060,60,Savings,USD,Active,0,1,0,0
ACC000000061,61,Corporate Current,ZWG,Active,1,1,1,0
ACC000000062,62,Money Market,USD,Dormant,1,1,1,0
ACC000000063,63,Corporate Current,ZWG,Active,1,0,0,0
ACC000000064,64,Corporate Current,USD,Active,1,1,1,0
ACC000000065,65,Corporate Current,ZAR,Active,1,0,0,0
ACC000000066,66,Savings,USD,Active,1,1,0,0
ACC000000067,67,Mobile Wallet,ZWG,Active,1,1,1,0
ACC000000068,68,Corporate Current,USD,Active,1,1,1,1
ACC000000069,69,Current,USD,Active,1,1,1,0
ACC000000070,70,Mobile Wallet,USD,Active,0,1,0,0
ACC000000071,71,Call Account,USD,Active,1,1,1,0
ACC000000072,72,Money Market,ZWG,Active,1,0,1,1
ACC000000073,73,Savings,USD,Active,1,0,1,0
ACC000000074,74,Call Account,USD,Active,1,1,1,1
ACC000000075,75,Call Account,USD,Active,0,1,1,0
ACC000000076,76,Call Account,USD,Active,0,1,0,0
ACC000000077,77,Savings,USD,Active,1,0,0,0
ACC000000078,78,Current,USD,Active,1,1,1,0
ACC000000079,79,Mobile Wallet,ZWG,Active,1,0,1,1
ACC000000080,80,Current,EUR,Active,1,1,0,1
ACC000000081,81,Mobile Wallet,USD,Active,1,1,0,0
ACC000000082,82,Current,EUR,Active,1,1,1,0
ACC000000083,83,USD Nostro,ZWG,Active,1,1,1,0
ACC000000084,84,Call Account,USD,Active,0,1,1,0
ACC000000085,85,Current,EUR,Active,1,1,1,1
ACC000000086,86,Savings,USD,Active,1,1,0,0
ACC000000087,87,Money Market,USD,Restricted,1,1,1,0
ACC000000088,88,Savings,ZWG,Active,1,0,0,1
ACC000000089,89,Call Account,USD,Active,0,1,0,0
ACC000000090,90,Mobile Wallet,USD,Active,1,1,0,1
ACC000000091,91,Money Market,ZWG,Active,0,1,0,1
ACC000000092,92,Current,USD,Active,1,1,1,1
ACC000000093,93,Corporate Current,ZWG,Active,1,1,1,0
ACC000000094,94,USD Nostro,USD,Active,1,1,0,1
ACC000000095,95,Mobile Wallet,EUR,Active,1,0,1,0
ACC000000096,96,Money Market,ZAR,Active,1,1,0,0
ACC000000097,97,Current,ZAR,Dormant,1,0,0,0
ACC000000098,98,Mobile Wallet,ZWG,Active,1,1,1,0
ACC000000099,99,Corporate Current,ZWG,Active,1,0,1,1
ACC000000100,100,Corporate Current,EUR,Active,1,1,1,0
ACC000000101,101,Money Market,USD,Active,1,1,1,1
ACC000000102,102,USD Nostro,USD,Active,1,1,0,0
ACC000000103,103,Money Market,USD,Active,1,1,1,0
ACC000000104,104,Current,USD,Active,1,1,0,0
ACC000000105,105,Savings,USD,Active,1,1,1,1
ACC000000106,106,Corporate Current,USD,Dormant,1,1,1,0
ACC000000107,107,Money Market,USD,Active,1,1,0,1
ACC000000108,108,Savings,EUR,Active,1,0,1,0
ACC000000109,109,Corporate Current,USD,Active,0,1,0,0
ACC000000110,110,Current,USD,Active,1,1,1,0
ACC000000111,111,Current,ZAR,Active,1,0,1,0
ACC000000112,112,Corporate Current,USD,Active,1,1,0,1
ACC000000113,113,Savings,USD,Active,1,1,1,1
ACC000000114,114,Savings,ZAR,Active,1,0,1,1
ACC000000115,115,USD Nostro,GBP,Active,1,1,1,1
ACC000000116,116,Corporate Current,ZWG,Active,1,1,1,0
ACC000000117,117,Corporate Current,ZWG,Active,1,1,1,0
ACC000000118,118,Current,USD,Active,1,0,1,0
ACC000000119,119,Current,USD,Active,1,0,1,0
ACC000000120,120,Savings,USD,Active,1,1,1,0
ACC000000121,121,USD Nostro,USD,Active,1,0,1,1
ACC000000122,122,Savings,GBP,Active,1,0,1,0
ACC000000123,123,Current,USD,Active,1,0,1,1
ACC000000124,124,Money Market,USD,Active,0,1,0,0
ACC000000125,125,Mobile Wallet,EUR,Active,1,0,1,0
