customer_id,customer_name,entity_type,country,sector,kyc_risk_band,pep_flag,adverse_media_flag,sanctions_watchlist_flag,previous_sar_flag,shell_company_flag,synthetic_suspicious_flag,suspicious_flag,alert_disposition
1,Company_0000001,Corporate,Zimbabwe,NGO,Low,0,0,0,0,1,0,0,False Positive
2,Customer_0000002,Individual,South Africa,Real Estate,Low,0,0,0,0,0,0,0,False Positive
3,Customer_0000003,Individual,Zambia,Hospitality,Medium,0,0,0,1,0,0,0,False Positive
4,Customer_0000004,Individual,Zimbabwe,Hospitality,Low,1,0,0,0,0,0,0,False Positive
5,Customer_0000005,Individual,Zimbabwe,Real Estate,Low,0,0,0,0,0,0,0,False Positive
6,Customer_0000006,Individual,Zimbabwe,Import/Export,Low,0,0,0,0,0,0,0,Closed - No Issue
7,Customer_0000007,Individual,Zambia,Mining,Low,0,0,0,0,0,1,0,False Positive
8,Customer_0000008,Individual,South Africa,Import/Export,Low,0,0,0,0,0,0,0,False Positive
9,Customer_0000009,Individual,Botswana,Transport,Low,0,0,0,0,0,0,0,False Positive
10,Customer_0000010,Individual,Zimbabwe,Wholesale,Low,0,0,0,0,0,0,0,False Positive
11,Customer_0000011,Individual,Zimbabwe,NGO,Low,0,0,0,1,0,0,0,Closed - No Issue
12,Customer_0000012,Individual,Zimbabwe,Financial Services,Low,0,0,0,0,0,0,0,Closed - No Issue
13,Customer_0000013,Individual,Zimbabwe,Consulting,Low,0,0,0,0,0,0,0,Monitoring
14,Customer_0000014,Individual,Botswana,Import/Export,Low,0,0,0,0,0,0,1,SAR Filed
15,Customer_0000015,Individual,Zimbabwe,Consulting,Low,0,0,0,0,0,0,0,False Positive
16,Customer_0000016,Individual,Zimbabwe,Consulting,Low,0,0,0,0,0,0,0,False Positive
17,Customer_0000017,Individual,Zimbabwe,Construction,Low,0,0,0,0,0,0,0,Closed - No Issue
18,Company_0000018,Corporate,Zimbabwe,Mining,Medium,0,0,0,1,0,0,0,Closed - No Issue
19,Customer_0000019,Individual,South Africa,Import/Export,Medium,0,0,0,1,0,0,0,Closed - No Issue
20,Customer_0000020,Individual,Zimbabwe,NGO,Medium,0,0,0,1,0,0,0,False Positive
21,Customer_0000021,Individual,United Arab Emirates,Consulting,Low,0,0,0,0,0,0,0,Closed - No Issue
22,Customer_0000022,Individual,Mozambique,Hospitality,Medium,0,1,0,0,0,0,0,Closed - No Issue
23,Customer_0000023,Individual,United Kingdom,Manufacturing,Low,0,0,0,0,0,0,0,Monitoring
24,Customer_0000024,Individual,South Africa,Logistics,Low,0,0,0,0,0,0,0,False Positive
25,Company_0000025,Corporate,South Africa,Mining,Low,0,0,0,0,0,0,1,Escalated
26,Customer_0000026,Individual,South Africa,Telecommunications,Low,0,0,0,0,0,0,0,False Positive
27,Company_0000027,Corporate,Zimbabwe,Wholesale,Medium,0,0,0,0,1,0,0,False Positive
28,Company_0000028,Corporate,Zimbabwe,Construction,Low,0,0,0,0,0,0,0,Monitoring
29,Customer_0000029,Individual,South Africa,Wholesale,Low,0,0,0,0,0,0,0,False Positive
30,Customer_0000030,Individual,Zimbabwe,Consulting,Low,0,0,0,0,0,0,0,Closed - No Issue
31,Customer_0000031,Individual,Zimbabwe,Pharmaceuticals,Low,0,0,0,0,0,0,0,False Positive
32,Customer_0000032,Individual,Namibia,Agriculture,Low,0,0,0,0,0,0,0,False Positive
33,Customer_0000033,Individual,Zimbabwe,Manufacturing,Low,0,0,0,0,0,0,0,Monitoring
34,Customer_0000034,Individual,Zimbabwe,Fuel,Low,0,0,0,0,0,0,0,False Positive
35,Customer_0000035,Individual,South Africa,Consulting,Low,0,0,0,0,0,0,0,False Positive
36,Customer_0000036,Individual,Zimbabwe,Wholesale,Low,0,0,0,0,0,0,1,Under Review
37,Company_0000037,Corporate,United Kingdom,Fuel,Low,0,0,0,0,0,1,0,False Positive
38,Company_0000038,Corporate,Zimbabwe,Logistics,Medium,0,0,0,0,1,1,0,Closed - No Issue
39,Customer_0000039,Individual,United Kingdom,Pharmaceuticals,Low,0,0,0,0,0,0,0,False Positive
40,Customer_0000040,Individual,Zambia,Mining,Low,0,0,0,0,0,0,0,False Positive
41,Customer_0000041,Individual,Zimbabwe,Fuel,Low,0,0,0,0,0,0,0,Monitoring
42,Customer_0000042,Individual,Zimbabwe,Fuel,Low,0,0,0,0,0,0,0,False Positive
43,Company_0000043,Corporate,Zimbabwe,NGO,Low,0,0,0,0,0,0,0,False Positive
44,Company_0000044,Corporate,Zimbabwe,NGO,Low,0,0,0,0,0,0,0,False Positive
45,Customer_0000045,Individual,Zimbabwe,Fuel,Low,0,0,0,0,0,0,0,False Positive
46,Customer_0000046,Individual,Kenya,Logistics,Low,0,0,0,0,0,0,0,Closed - No Issue
47,Customer_0000047,Individual,Zimbabwe,Telecommunications,Low,0,0,0,0,0,0,0,False Positive
48,Customer_0000048,Individual,Mozambique,Hospitality,Low,0,0,0,0,0,0,0,Closed - No Issue
49,Customer_0000049,Individual,Zimbabwe,Transport,Low,0,0,0,0,0,0,0,Closed - No Issue
50,Customer_0000050,Individual,Tanzania,Retail,Low,0,0,0,0,0,0,0,False Positive
51,Company_0000051,Corporate,Zimbabwe,NGO,Low,0,0,0,0,0,0,0,False Positive
52,Customer_0000052,Individual,Zimbabwe,Manufacturing,Low,0,0,0,0,0,0,0,Monitoring
53,Customer_0000053,Individual,Zimbabwe,Real Estate,Medium,0,1,0,0,0,0,0,False Positive
54,Customer_0000054,Individual,Zimbabwe,Import/Export,Low,0,0,0,0,0,0,0,Closed - No Issue
55,Customer_0000055,Individual,Mozambique,Wholesale,Low,0,0,0,0,0,0,0,Closed - No Issue
56,Customer_0000056,Individual,Zimbabwe,Financial Services,Low,0,0,0,0,0,0,0,False Positive
57,Customer_0000057,Individual,Zimbabwe,Consulting,Low,0,0,0,0,0,0,0,False Positive
58,Company_0000058,Corporate,Zimbabwe,Import/Export,Low,0,0,0,0,0,0,0,Closed - No Issue
59,Customer_0000059,Individual,South Africa,Mining,Low,0,0,0,0,0,0,0,Closed - No Issue
60,Company_0000060,Corporate,Zimbabwe,Wholesale,Low,0,0,0,0,0,0,0,Closed - No Issue
61,Customer_0000061,Individual,Zimbabwe,Construction,Low,0,0,0,0,0,0,0,False Positive
62,Customer_0000062,Individual,Zimbabwe,Hospitality,Low,0,0,0,0,0,0,0,False Positive
63,Customer_0000063,Individual,Zimbabwe,Manufacturing,Low,0,1,0,0,0,0,0,False Positive
64,Customer_0000064,Individual,Zimbabwe,Manufacturing,Low,0,0,0,0,0,0,0,False Positive
65,Customer_0000065,Individual,United Arab Emirates,Import/Export,Low,0,0,0,0,0,0,0,Monitoring
66,Customer_0000066,Individual,Zimbabwe,NGO,Low,0,0,0,0,0,0,0,False Positive
67,Company_0000067,Corporate,South Africa,Fuel,Low,0,0,0,0,0,0,0,Closed - No Issue
68,Customer_0000068,Individual,Zimbabwe,Manufacturing,Low,0,0,0,0,0,0,0,Closed - No Issue
