link_id,customer_id_1,customer_id_2,link_type,link_strength
CL00000001,41149,5362,shared_phone,0.873
CL00000002,23259,44159,shared_beneficial_owner,0.872
CL00000003,13122,21071,shared_phone,0.873
CL00000004,40350,45333,shared_director,0.744
CL00000005,35634,42373,shared_director,0.575
CL00000006,13300,5261,shared_address,0.831
CL00000007,32402,24205,shared_address,0.746
CL00000008,38249,13826,related_party,0.617
CL00000009,21401,6525,shared_director,0.811
CL00000010,48894,5373,shared_address,0.405
CL00000011,48403,49146,shared_beneficial_owner,0.908
CL00000012,19629,27772,shared_phone,0.623
CL00000013,41667,9824,shared_beneficial_owner,0.875
CL00000014,23663,32612,shared_director,0.82
CL00000015,38216,26796,related_party,0.41
CL00000016,45752,3099,shared_beneficial_owner,0.66
CL00000017,4809,42642,related_party,0.816
CL00000018,15160,19669,shared_phone,0.781
CL00000019,15597,31548,shared_beneficial_owner,0.476
CL00000020,26200,28283,shared_director,0.717
CL00000021,30753,8397,shared_address,0.518
CL00000022,16754,39017,shared_phone,0.926
CL00000023,24786,30482,shared_address,0.844
CL00000024,34694,6578,shared_address,0.717
CL00000025,38482,34295,related_party,0.842
CL00000026,23124,49894,shared_director,0.678
CL00000027,34610,11302,shared_beneficial_owner,0.767
CL00000028,34628,18368,shared_beneficial_owner,0.539
CL00000029,24382,18995,shared_director,0.646
CL00000030,40104,33003,shared_phone,0.774
CL00000031,49715,15792,shared_director,0.63
CL00000032,26653,48131,shared_beneficial_owner,0.831
CL00000033,11440,11617,shared_beneficial_owner,0.821
CL00000034,16036,30947,shared_phone,0.844
CL00000035,3308,29989,shared_address,0.813
CL00000036,26615,19738,shared_address,0.612
CL00000037,15488,48722,shared_phone,0.428
CL00000038,46495,20253,shared_phone,0.901
CL00000039,13439,41546,shared_phone,0.872
CL00000040,39153,28695,shared_phone,0.585
CL00000041,81,13015,related_party,0.412
CL00000042,15452,20748,shared_director,0.698
CL00000043,25133,5907,shared_beneficial_owner,0.496
CL00000044,32753,39760,shared_beneficial_owner,0.491
CL00000045,47678,17450,shared_phone,0.507
CL00000046,24580,7669,related_party,0.403
CL00000047,49440,31609,shared_beneficial_owner,0.703
CL00000048,13175,2823,shared_phone,0.704
CL00000049,46484,3182,shared_beneficial_owner,0.555
CL00000050,32337,11663,shared_phone,0.81
CL00000051,9671,45776,shared_beneficial_owner,0.513
CL00000052,22120,35634,shared_phone,0.723
CL00000053,31121,48790,shared_address,0.423
CL00000054,27357,42714,shared_director,0.419
CL00000055,38421,1896,related_party,0.91
CL00000056,31655,44615,shared_director,0.583
CL00000057,21228,22491,shared_beneficial_owner,0.958
CL00000058,43144,18655,shared_address,0.569
CL00000059,14716,29039,shared_director,0.553
CL00000060,28511,10651,shared_director,0.595
CL00000061,37980,35788,shared_address,0.783
CL00000062,7506,2760,shared_address,0.905
CL00000063,7002,27848,shared_phone,0.854
CL00000064,11028,17538,shared_phone,0.94
CL00000065,1436,32425,shared_beneficial_owner,0.996
CL00000066,40731,41588,shared_beneficial_owner,0.967
CL00000067,15711,40675,shared_director,0.589
CL00000068,27869,24136,shared_phone,0.793
CL00000069,15741,40470,shared_beneficial_owner,0.772
CL00000070,34295,33115,shared_director,0.428
CL00000071,8313,8189,related_party,0.648
CL00000072,37537,2156,related_party,0.948
CL00000073,33852,43186,shared_phone,0.847
CL00000074,19030,33026,shared_director,0.796
CL00000075,32210,45608,shared_director,0.989
CL00000076,6162,45507,shared_beneficial_owner,0.471
CL00000077,38027,9877,shared_address,0.853
CL00000078,14267,40988,shared_beneficial_owner,0.799
CL00000079,47999,16765,shared_address,0.498
CL00000080,48283,29235,shared_address,0.449
CL00000081,26025,28731,shared_phone,0.559
CL00000082,13366,30114,shared_address,0.458
CL00000083,44789,36223,shared_director,0.913
CL00000084,71,6656,shared_beneficial_owner,0.58
CL00000085,30233,21503,shared_address,0.526
CL00000086,29547,33201,shared_phone,0.807
CL00000087,34363,49534,shared_director,0.408
CL00000088,5261,13841,shared_address,0.746
CL00000089,40497,1735,shared_phone,0.704
CL00000090,26957,27840,shared_address,0.797
CL00000091,25495,17237,related_party,0.688
CL00000092,5887,8819,shared_phone,0.55
CL00000093,30610,27765,shared_director,0.529
CL00000094,34274,30505,shared_phone,0.706
CL00000095,34888,10166,shared_phone,0.477
CL00000096,385,37527,shared_beneficial_owner,0.474
CL00000097,13333,25139,shared_director,0.511
CL00000098,10614,40287,shared_director,0.698
CL00000099,10110,48808,shared_director,0.584
CL00000100,30946,46102,shared_beneficial_owner,0.732
CL00000101,23427,2444,shared_address,0.812
CL00000102,6193,19693,shared_address,0.741
CL00000103,4000,23551,shared_beneficial_owner,0.932
CL00000104,16958,10773,shared_address,0.795
CL00000105,27944,44835,shared_director,0.873
CL00000106,17677,28449,shared_director,0.924
CL00000107,25554,24850,shared_phone,0.72
CL00000108,25425,7182,shared_director,0.899
CL00000109,36250,45986,shared_director,0.473
CL00000110,25818,36142,shared_address,0.948
CL00000111,13320,17829,shared_phone,0.695
CL00000112,15952,43298,related_party,0.623
CL00000113,709,46317,shared_director,0.941
CL00000114,38307,16165,shared_director,0.496
CL00000115,6556,42975,shared_beneficial_owner,0.656
CL00000116,48089,2964,shared_director,0.954
CL00000117,40520,28511,shared_director,0.534
CL00000118,16476,15660,shared_address,0.801
CL00000119,6443,25278,shared_address,0.814
CL00000120,25835,29845,shared_beneficial_owner,0.89
CL00000121,17495,34685,shared_director,0.764
CL00000122,22750,29234,shared_beneficial_owner,0.544
CL00000123,37493,3927,related_party,0.862
CL00000124,41384,42961,shared_director,0.535
CL00000125,47324,28327,shared_beneficial_owner,0.739
CL00000126,11606,32838,shared_phone,0.893
CL00000127,47298,24189,related_party,0.919
CL00000128,39935,28405,shared_director,0.75
CL00000129,25556,37164,shared_beneficial_owner,0.531
CL00000130,42848,12545,shared_director,0.949
CL00000131,35194,28091,related_party,0.918
CL00000132,2294,43175,related_party,0.463
CL00000133,41940,40567,shared_address,0.704
CL00000134,45506,9946,shared_director,0.46
CL00000135,27140,1588,shared_beneficial_owner,0.626
CL00000136,45962,9193,shared_director,0.933
CL00000137,49357,9611,shared_beneficial_owner,0.914
CL00000138,46263,18900,shared_address,0.463
CL00000139,49244,32065,shared_phone,0.468
CL00000140,19754,29992,shared_director,0.814
CL00000141,36563,10319,shared_director,0.788
CL00000142,31465,39259,shared_director,0.807
CL00000143,15639,47632,shared_beneficial_owner,0.526
CL00000144,3619,45783,shared_director,0.605
CL00000145,33977,25268,shared_director,0.845
CL00000146,3308,29606,shared_address,0.7
CL00000147,20987,24544,shared_beneficial_owner,0.871
CL00000148,27357,19327,shared_director,0.498
CL00000149,15677,35713,shared_beneficial_owner,0.779
CL00000150,48470,30490,shared_phone,0.783
CL00000151,8125,11384,shared_address,0.934
CL00000152,9995,16036,shared_director,0.665
CL00000153,29301,47563,shared_director,0.44
CL00000154,717,24173,shared_director,0.446
CL00000155,36288,38920,shared_director,0.686
CL00000156,10371,23943,shared_address,0.636
CL00000157,5232,10348,shared_phone,0.87
CL00000158,4872,41534,shared_beneficial_owner,0.469
CL00000159,49910,25616,shared_beneficial_owner,0.67
CL00000160,35831,32190,shared_phone,0.705
CL00000161,29277,5049,shared_director,0.532
CL00000162,21221,6347,shared_director,0.54
CL00000163,35100,19606,shared_beneficial_owner,0.515
CL00000164,5427,2690,shared_address,0.644
CL00000165,45110,34093,shared_director,0.946
CL00000166,33864,42904,shared_beneficial_owner,0.591
CL00000167,22587,2765,shared_phone,0.882
CL00000168,10509,16575,shared_beneficial_owner,0.679
CL00000169,12020,14918,shared_address,0.739
CL00000170,8761,35898,shared_beneficial_owner,0.676
CL00000171,45545,8816,shared_director,0.905
CL00000172,26589,28122,shared_director,0.75
CL00000173,28220,39225,shared_director,0.724
CL00000174,17843,48513,related_party,0.884
CL00000175,45752,29847,shared_address,0.494
CL00000176,22806,5196,shared_director,0.895
CL00000177,46070,1758,shared_phone,0.771
CL00000178,39369,18836,shared_phone,0.828
CL00000179,27682,26026,related_party,0.407
CL00000180,8660,21461,shared_director,0.685
CL00000181,15194,20307,shared_beneficial_owner,0.474
CL00000182,1808,15013,shared_address,0.822
CL00000183,9371,44885,shared_director,0.527
CL00000184,47643,7436,shared_beneficial_owner,0.579
CL00000185,643,23262,shared_address,0.994
CL00000186,44479,6168,shared_beneficial_owner,0.567
CL00000187,26092,1139,related_party,0.822
CL00000188,23693,43253,shared_address,0.706
CL00000189,34751,2090,shared_phone,0.636
CL00000190,43991,39377,shared_phone,0.913
CL00000191,13172,46075,related_party,0.67
CL00000192,16678,39840,shared_beneficial_owner,0.91
CL00000193,922,22128,shared_address,0.771
CL00000194,8116,21042,shared_director,0.982
CL00000195,15475,28598,shared_address,0.42
CL00000196,20576,40490,shared_beneficial_owner,0.529
CL00000197,13897,34955,shared_director,0.597
CL00000198,23531,20628,shared_phone,0.579
CL00000199,25828,15224,shared_beneficial_owner,0.782
CL00000200,13812,20556,shared_director,0.795
CL00000201,33291,3910,related_party,0.587
CL00000202,17773,12164,shared_address,0.966
CL00000203,10253,5610,shared_phone,0.665
CL00000204,33627,22052,shared_beneficial_owner,0.497
CL00000205,44112,33151,shared_director,0.506
CL00000206,6535,45552,shared_director,0.464
CL00000207,12427,16023,shared_director,0.47
CL00000208,13439,48370,related_party,0.476
CL00000209,1869,12489,shared_address,0.626
CL00000210,29121,15597,shared_address,0.5
CL00000211,28657,1869,shared_phone,0.436
CL00000212,32446,21165,shared_phone,0.502
CL00000213,34834,28514,shared_address,0.568
CL00000214,28833,8774,shared_phone,0.855
CL00000215,45948,21505,related_party,0.983
CL00000216,41635,48959,shared_beneficial_owner,0.538
CL00000217,19363,38479,shared_beneficial_owner,0.778
CL00000218,43227,14309,shared_phone,0.894
CL00000219,32554,860,shared_director,0.542
CL00000220,32094,37757,shared_beneficial_owner,0.727
CL00000221,746,1256,shared_director,0.521
