customer_id,customer_name,entity_type,country,country_code,province,sector,business_type,occupation,date_opened,account_age_days,annual_income_or_revenue_estimate,expected_monthly_turnover,employee_count,beneficial_owner_count,pep_flag,adverse_media_flag,sanctions_watchlist_flag,previous_sar_flag,high_risk_industry_flag,source_of_funds_verified,address_verified,phone_verified,email_verified,tax_pin_verified,kyc_review_overdue_flag,dormant_account_flag,linked_accounts_count,linked_cards_count,foreign_national_flag,shared_address_group,shared_phone_group,shell_company_flag,kyc_risk_band,synthetic_suspicious_flag
1,Company_0000001,Corporate,Zimbabwe,ZW,Harare,NGO,NGO,Not Applicable,2018-02-13 23:43:26,2877,1301633.26,185830.93,1798,6,0,0,0,0,0,1,1,1,1,1,0,0,6,4,0,4071,3474,1,Low,0
2,Customer_0000002,Individual,South Africa,ZA,Harare,Real Estate,Not Applicable,Technician,2023-03-05 15:55:29,1031,25169.47,68946.28,0,0,0,0,0,0,1,1,1,1,1,0,0,0,7,4,1,5175,6944,0,Low,0
3,Customer_0000003,Individual,Zambia,ZM,Mashonaland West,Hospitality,Not Applicable,Teacher,2024-08-29 17:38:14,488,16130.99,44083.17,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,2,1,1737,1827,0,Medium,0
4,Customer_0000004,Individual,Zimbabwe,ZW,Masvingo,Hospitality,Not Applicable,Civil Servant,2018-07-15 08:42:37,2725,13004.29,91563.62,0,0,1,0,0,0,0,1,1,1,1,0,0,0,2,3,0,8074,9855,0,Low,0
5,Customer_0000005,Individual,Zimbabwe,ZW,Matabeleland North,Real Estate,Not Applicable,Civil Servant,2016-09-27 09:36:02,3381,5906.32,25356.54,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,4,0,8136,4763,0,Low,0
6,Customer_0000006,Individual,Zimbabwe,ZW,Mashonaland East,Import/Export,Not Applicable,Teacher,2019-02-02 14:29:01,2523,50267.31,105693.34,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,1,0,8671,933,0,Low,0
7,Customer_0000007,Individual,Zambia,ZM,Mashonaland West,Mining,Not Applicable,Consultant,2016-05-05 23:11:07,3526,41220.16,25937.21,0,0,0,0,0,0,1,1,1,1,1,0,0,1,4,3,1,12694,8815,0,Low,1
8,Customer_0000008,Individual,South Africa,ZA,Midlands,Import/Export,Not Applicable,Lawyer,2024-09-05 07:36:55,481,67303.73,30270.26,0,0,0,0,0,0,1,1,1,1,1,0,0,0,3,0,1,2000,4992,0,Low,0
9,Customer_0000009,Individual,Botswana,BW,Manicaland,Transport,Not Applicable,Technician,2018-12-31 10:58:10,2556,6701.32,10332.83,0,0,0,0,0,0,0,1,1,1,1,0,0,0,7,1,1,6388,8347,0,Low,0
10,Customer_0000010,Individual,Zimbabwe,ZW,Harare,Wholesale,Not Applicable,Doctor,2017-03-03 21:33:32,3224,21034.02,21700.86,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,1116,1032,0,Low,0
11,Customer_0000011,Individual,Zimbabwe,ZW,Midlands,NGO,Not Applicable,Lawyer,2017-07-18 01:22:12,3087,7867.3,145317.13,0,0,0,0,0,1,0,1,1,1,1,0,0,1,3,3,0,14720,4745,0,Low,0
12,Customer_0000012,Individual,Zimbabwe,ZW,Midlands,Financial Services,Not Applicable,Teacher,2022-06-01 12:01:33,1308,45787.01,21216.48,0,0,0,0,0,0,0,1,1,1,1,0,0,0,7,0,0,11253,9473,0,Low,0
13,Customer_0000013,Individual,Zimbabwe,ZW,Harare,Consulting,Not Applicable,Lawyer,2022-03-04 08:16:53,1397,21981.25,25503.74,0,0,0,0,0,0,0,1,1,1,1,0,0,0,6,2,0,9364,7584,0,Low,0
14,Customer_0000014,Individual,Botswana,BW,Manicaland,Import/Export,Not Applicable,Trader,2016-08-04 09:26:26,3435,20267.47,38402.99,0,0,0,0,0,0,1,1,1,0,1,0,0,0,5,2,1,211,4156,0,Low,0
15,Customer_0000015,Individual,Zimbabwe,ZW,Matabeleland North,Consulting,Not Applicable,Student,2020-08-11 09:58:15,1967,52284.83,12969.24,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,2,0,4350,16788,0,Low,0
16,Customer_0000016,Individual,Zimbabwe,ZW,Harare,Consulting,Not Applicable,Teacher,2024-07-30 13:25:03,518,135195.63,55233.22,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,2,0,3697,19504,0,Low,0
17,Customer_0000017,Individual,Zimbabwe,ZW,Harare,Construction,Not Applicable,Student,2021-11-13 12:30:31,1508,31602.68,72566.3,0,0,0,0,0,0,0,1,1,1,1,0,0,0,6,0,0,1242,1267,0,Low,0
18,Company_0000018,Corporate,Zimbabwe,ZW,Harare,Mining,Sole Proprietorship,Not Applicable,2021-10-17 23:59:56,1535,535828.05,3882450.09,1084,2,0,0,0,1,1,0,1,1,1,1,0,0,2,3,0,1497,8007,0,Medium,0
19,Customer_0000019,Individual,South Africa,ZA,Mashonaland East,Import/Export,Not Applicable,Consultant,2020-03-16 17:42:22,2115,28385.84,21680.95,0,0,0,0,0,1,1,1,1,1,1,0,0,0,3,0,1,7226,15777,0,Medium,0
20,Customer_0000020,Individual,Zimbabwe,ZW,Bulawayo,NGO,Not Applicable,Civil Servant,2017-07-28 03:36:28,3077,52730.36,22692.55,0,0,0,0,0,1,0,0,1,1,1,0,0,0,5,2,0,4393,1298,0,Medium,0
21,Customer_0000021,Individual,United Arab Emirates,AE,Bulawayo,Consulting,Not Applicable,Unemployed,2022-04-26 10:14:57,1344,25363.11,19989.87,0,0,0,0,0,0,0,1,1,1,1,0,0,1,7,4,1,10884,5174,0,Low,0
22,Customer_0000022,Individual,Mozambique,MZ,Harare,Hospitality,Not Applicable,Lawyer,2023-07-01 00:10:19,913,9015.93,56786.45,0,0,0,1,0,0,0,1,1,1,0,0,1,0,5,4,1,7462,3237,0,Medium,0
23,Customer_0000023,Individual,United Kingdom,GB,Masvingo,Manufacturing,Not Applicable,Civil Servant,2018-09-15 15:14:34,2663,95961.41,125877.17,0,0,0,0,0,0,0,1,1,1,1,0,0,0,6,2,1,4476,6819,0,Low,0
24,Customer_0000024,Individual,South Africa,ZA,Matabeleland South,Logistics,Not Applicable,Business Owner,2021-01-02 01:07:11,1823,7266.41,42276.41,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,1,1,2148,9528,0,Low,0
25,Company_0000025,Corporate,South Africa,ZA,Matabeleland North,Mining,Public Company,Not Applicable,2018-01-10 20:18:05,2911,3469905.3,1194364.15,1941,5,0,0,0,0,1,1,1,1,1,0,0,0,7,0,1,12830,11004,0,Low,0
26,Customer_0000026,Individual,South Africa,ZA,Harare,Telecommunications,Not Applicable,Nurse,2017-04-27 13:38:50,3169,71010.54,26031.82,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,7916,9835,0,Low,0
27,Company_0000027,Corporate,Zimbabwe,ZW,Midlands,Wholesale,Public Company,Not Applicable,2021-03-24 16:23:47,1742,4998594.08,305560.9,243,5,0,0,0,0,0,1,1,1,1,1,1,0,4,4,0,2065,17392,1,Medium,0
28,Company_0000028,Corporate,Zimbabwe,ZW,Midlands,Construction,Sole Proprietorship,Not Applicable,2025-05-04 00:22:03,240,1252239.15,943887.51,2279,7,0,0,0,0,0,1,1,1,1,1,0,0,6,0,0,7592,2891,0,Low,0
29,Customer_0000029,Individual,South Africa,ZA,Bulawayo,Wholesale,Not Applicable,Doctor,2025-04-10 15:26:08,264,25179.78,27087.91,0,0,0,0,0,0,0,1,1,1,1,0,0,0,5,2,1,4191,18335,0,Low,0
30,Customer_0000030,Individual,Zimbabwe,ZW,Midlands,Consulting,Not Applicable,Trader,2017-10-28 21:57:29,2985,17360.57,11662.86,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,0,0,12995,485,0,Low,0
31,Customer_0000031,Individual,Zimbabwe,ZW,Mashonaland Central,Pharmaceuticals,Not Applicable,Engineer,2024-01-31 04:25:53,699,15312.19,64364.76,0,0,0,0,0,0,0,1,0,1,1,0,0,0,6,2,0,7744,18448,0,Low,0
32,Customer_0000032,Individual,Namibia,,Harare,Agriculture,Not Applicable,Teacher,2022-04-22 01:44:41,1348,38489.72,9324.7,0,0,0,0,0,0,0,1,1,1,1,0,0,0,7,0,1,6170,17435,0,Low,0
33,Customer_0000033,Individual,Zimbabwe,ZW,Mashonaland West,Manufacturing,Not Applicable,Nurse,2024-03-20 09:10:59,650,58303.59,30963.17,0,0,0,0,0,0,0,1,1,1,1,0,0,1,7,1,0,11940,8532,0,Low,0
34,Customer_0000034,Individual,Zimbabwe,ZW,Mashonaland East,Fuel,Not Applicable,Driver,2024-02-16 19:52:00,683,18962.52,33392.92,0,0,0,0,0,0,1,1,1,0,1,0,0,0,5,4,0,5435,12926,0,Low,0
35,Customer_0000035,Individual,South Africa,ZA,Matabeleland South,Consulting,Not Applicable,Doctor,2016-07-06 17:59:06,3464,12302.83,32353.28,0,0,0,0,0,0,0,1,1,1,1,0,0,0,7,1,1,1750,2917,0,Low,0
36,Customer_0000036,Individual,Zimbabwe,ZW,Manicaland,Wholesale,Not Applicable,Technician,2016-08-02 23:12:14,3437,152965.8,28735.92,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,4,0,13360,2195,0,Low,0
37,Company_0000037,Corporate,United Kingdom,GB,Matabeleland North,Fuel,Cooperative,Not Applicable,2021-10-22 08:52:33,1530,1565642.48,347934.44,1743,7,0,0,0,0,1,1,1,1,1,1,0,0,5,4,1,1991,13447,0,Low,1
38,Company_0000038,Corporate,Zimbabwe,ZW,Matabeleland North,Logistics,NGO,Not Applicable,2016-12-14 05:21:34,3303,30356761.03,465253.53,1763,1,0,0,0,0,0,1,1,1,1,1,1,0,1,2,0,6571,10015,1,Medium,1
39,Customer_0000039,Individual,United Kingdom,GB,Harare,Pharmaceuticals,Not Applicable,Teacher,2021-03-31 11:25:47,1735,20371.84,69391.74,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,11894,1678,0,Low,0
40,Customer_0000040,Individual,Zambia,ZM,Masvingo,Mining,Not Applicable,Doctor,2018-02-26 11:36:02,2864,21154.46,56483.45,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,2,1,12276,12224,0,Low,0
41,Customer_0000041,Individual,Zimbabwe,ZW,Mashonaland Central,Fuel,Not Applicable,Unemployed,2017-02-17 05:28:25,3238,146790.67,138258.58,0,0,0,0,0,0,1,1,1,1,1,0,0,0,4,3,0,6288,1227,0,Low,0
42,Customer_0000042,Individual,Zimbabwe,ZW,Harare,Fuel,Not Applicable,Unemployed,2019-12-13 15:06:44,2209,53460.39,14497.25,0,0,0,0,0,0,1,1,1,1,1,0,0,0,4,0,0,13854,7096,0,Low,0
43,Company_0000043,Corporate,Zimbabwe,ZW,Manicaland,NGO,Private Limited Company,Not Applicable,2018-03-27 20:39:56,2835,2086544.74,2169566.7,352,6,0,0,0,0,0,1,1,1,1,1,0,0,2,2,0,11081,69,0,Low,0
44,Company_0000044,Corporate,Zimbabwe,ZW,Matabeleland South,NGO,Sole Proprietorship,Not Applicable,2017-10-10 02:01:19,3003,6531516.94,837819.83,1177,7,0,0,0,0,0,1,1,1,1,1,0,1,2,2,0,4114,17796,0,Low,0
45,Customer_0000045,Individual,Zimbabwe,ZW,Masvingo,Fuel,Not Applicable,Civil Servant,2018-11-25 05:41:17,2592,12086.02,14214.73,0,0,0,0,0,0,1,1,1,1,1,0,0,0,3,3,0,14445,3614,0,Low,0
46,Customer_0000046,Individual,Kenya,KE,Mashonaland West,Logistics,Not Applicable,Teacher,2017-10-24 08:05:15,2989,11292.63,10405.22,0,0,0,0,0,0,0,1,1,1,1,0,1,0,6,3,1,11013,8342,0,Low,0
47,Customer_0000047,Individual,Zimbabwe,ZW,Harare,Telecommunications,Not Applicable,Engineer,2023-06-22 20:54:59,922,36835.73,6305.93,0,0,0,0,0,0,0,1,1,1,0,0,0,0,6,3,0,10271,6831,0,Low,0
48,Customer_0000048,Individual,Mozambique,MZ,Masvingo,Hospitality,Not Applicable,Student,2022-02-27 23:25:41,1402,43963.43,23642.18,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,10365,9484,0,Low,0
49,Customer_0000049,Individual,Zimbabwe,ZW,Matabeleland North,Transport,Not Applicable,Business Owner,2016-09-01 05:27:08,3407,50482.66,19525.85,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,10560,7847,0,Low,0
50,Customer_0000050,Individual,Tanzania,TZ,Midlands,Retail,Not Applicable,Doctor,2024-01-05 13:00:30,725,35626.22,66744.32,0,0,0,0,0,0,0,1,1,1,0,0,0,1,6,1,1,3035,268,0,Low,0
51,Company_0000051,Corporate,Zimbabwe,ZW,Matabeleland North,NGO,Cooperative,Not Applicable,2019-07-18 08:24:37,2357,1974382.05,106932.59,1429,4,0,0,0,0,0,0,0,1,1,1,0,0,1,4,0,2115,8042,0,Low,0
52,Customer_0000052,Individual,Zimbabwe,ZW,Harare,Manufacturing,Not Applicable,Accountant,2024-07-20 20:57:14,528,32705.09,27968.56,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,4,0,12398,1438,0,Low,0
53,Customer_0000053,Individual,Zimbabwe,ZW,Midlands,Real Estate,Not Applicable,Civil Servant,2018-08-13 21:47:35,2696,20135.73,30008.76,0,0,0,1,0,0,1,1,1,1,1,0,0,0,5,4,0,13494,2504,0,Medium,0
54,Customer_0000054,Individual,Zimbabwe,ZW,Matabeleland North,Import/Export,Not Applicable,Unemployed,2018-03-10 05:45:31,2852,92105.5,24420.5,0,0,0,0,0,0,1,1,1,1,1,0,1,0,2,2,0,10647,1701,0,Low,0
55,Customer_0000055,Individual,Mozambique,MZ,Harare,Wholesale,Not Applicable,Technician,2018-03-27 09:05:27,2835,12632.72,38041.93,0,0,0,0,0,0,0,1,1,1,1,0,0,0,5,4,1,14327,9135,0,Low,0
56,Customer_0000056,Individual,Zimbabwe,ZW,Masvingo,Financial Services,Not Applicable,Engineer,2017-03-24 09:47:33,3203,29407.02,31191.23,0,0,0,0,0,0,0,1,1,1,1,0,0,0,7,4,0,14465,14332,0,Low,0
57,Customer_0000057,Individual,Zimbabwe,ZW,Bulawayo,Consulting,Not Applicable,Driver,2025-01-31 22:33:31,333,38680.76,13420.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,3,0,9760,13642,0,Low,0
58,Company_0000058,Corporate,Zimbabwe,ZW,Mashonaland West,Import/Export,Sole Proprietorship,Not Applicable,2024-08-29 10:48:30,488,4387529.55,870166.13,2470,2,0,0,0,0,1,1,1,1,1,1,0,0,4,3,0,3809,643,0,Low,0
59,Customer_0000059,Individual,South Africa,ZA,Bulawayo,Mining,Not Applicable,Teacher,2024-11-16 21:30:10,409,39229.38,17779.79,0,0,0,0,0,0,1,1,1,1,1,0,0,0,5,2,1,11003,3922,0,Low,0
60,Company_0000060,Corporate,Zimbabwe,ZW,Matabeleland North,Wholesale,Sole Proprietorship,Not Applicable,2024-10-30 09:57:37,426,3874962.02,476542.28,2244,3,0,0,0,0,0,1,1,1,1,1,0,0,7,3,0,7358,3422,0,Low,0
61,Customer_0000061,Individual,Zimbabwe,ZW,Harare,Construction,Not Applicable,Teacher,2022-07-01 12:28:30,1278,11165.74,14970.12,0,0,0,0,0,0,0,1,1,1,1,0,1,0,4,3,0,2249,11347,0,Low,0
62,Customer_0000062,Individual,Zimbabwe,ZW,Matabeleland South,Hospitality,Not Applicable,Driver,2019-02-14 20:01:39,2511,101040.97,33375.91,0,0,0,0,0,0,0,1,1,1,1,0,0,0,4,4,0,8942,18792,0,Low,0
63,Customer_0000063,Individual,Zimbabwe,ZW,Harare,Manufacturing,Not Applicable,Student,2021-07-03 08:28:43,1641,11072.07,18927.94,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,4,0,6618,6454,0,Low,0
64,Customer_0000064,Individual,Zimbabwe,ZW,Harare,Manufacturing,Not Applicable,Business Owner,2024-12-02 06:19:55,393,28742.92,5254.82,0,0,0,0,0,0,0,1,1,1,1,0,0,0,7,0,0,9654,3169,0,Low,0
65,Customer_0000065,Individual,United Arab Emirates,AE,Harare,Import/Export,Not Applicable,Lawyer,2023-04-03 12:28:22,1002,60831.12,13887.11,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,1,1,5645,10332,0,Low,0
66,Customer_0000066,Individual,Zimbabwe,ZW,Manicaland,NGO,Not Applicable,Consultant,2018-05-13 11:10:11,2788,5385.02,34718.55,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,1,0,3820,12327,0,Low,0
67,Company_0000067,Corporate,South Africa,ZA,Masvingo,Fuel,Partnership,Not Applicable,2020-05-16 13:34:09,2054,6106489.38,268587.19,1624,7,0,0,0,0,1,1,1,1,1,1,0,0,3,0,1,12497,6957,0,Low,0
68,Customer_0000068,Individual,Zimbabwe,ZW,Mashonaland Central,Manufacturing,Not Applicable,Nurse,2021-01-23 01:45:04,1802,52040.28,26820.38,0,0,0,0,0,0,0,1,0,1,1,0,0,0,6,4,0,5412,2191,0,Low,0
69,Customer_0000069,Individual,Zimbabwe,ZW,Mashonaland Central,Pharmaceuticals,Not Applicable,Engineer,2016-03-03 02:41:02,3589,8774.93,43839.57,0,0,0,0,0,0,0,1,1,1,1,0,0,0,5,1,0,9296,18552,0,Low,0
70,Customer_0000070,Individual,Zimbabwe,ZW,Matabeleland South,Construction,Not Applicable,Lawyer,2023-09-14 21:40:33,838,45112.32,12674.53,0,0,0,0,0,0,0,1,1,0,1,0,0,0,5,2,0,7462,17908,0,Low,0
71,Company_0000071,Corporate,Zimbabwe,ZW,Mashonaland East,Hospitality,Sole Proprietorship,Not Applicable,2018-05-20 22:58:12,2781,11230867.88,2583683.51,24,2,0,0,0,0,0,0,1,1,0,1,0,0,4,4,0,396,9131,0,Low,0
72,Customer_0000072,Individual,Zimbabwe,ZW,Mashonaland East,Fuel,Not Applicable,Consultant,2025-06-08 16:05:58,205,9050.86,55326.32,0,0,0,0,0,0,1,1,1,1,1,0,0,0,5,2,0,3624,11804,0,Low,0
73,Customer_0000073,Individual,Zimbabwe,ZW,Manicaland,Pharmaceuticals,Not Applicable,Civil Servant,2022-01-02 06:35:30,1458,10736.39,59826.44,0,0,0,0,0,0,0,1,1,1,0,0,0,0,5,0,0,11331,10045,0,Low,0
74,Customer_0000074,Individual,Zimbabwe,ZW,Midlands,Wholesale,Not Applicable,Driver,2021-01-23 02:14:50,1802,40122.49,45143.39,0,0,0,0,0,0,0,1,1,1,1,0,1,0,2,3,0,3565,19377,0,Low,0
75,Company_0000075,Corporate,Tanzania,TZ,Bulawayo,Financial Services,NGO,Not Applicable,2021-10-29 20:04:29,1523,10696341.64,1515518.23,493,2,0,0,0,0,0,1,1,1,1,1,0,0,6,0,1,9774,8467,0,Low,0
