tbml_id,customer_id,invoice_value,declared_value,invoice_deviation_ratio,over_invoicing_flag,under_invoicing_flag,trade_goods_category,origin_country,destination_country,high_risk_country_flag
TBML00000001,46214,50000.0,62685.61,1.253712,1,0,Textiles,Mauritius,United Arab Emirates,1
TBML00000002,13689,250000.0,305192.64,1.220771,1,0,Fuel,Mauritius,Botswana,1
TBML00000003,20220,50000.0,28533.25,0.570665,0,1,Vehicles,Zimbabwe,Kenya,0
TBML00000004,13431,50000.0,52582.99,1.05166,0,0,Chemicals,India,Mauritius,1
TBML00000005,10668,50000.0,38567.55,0.771351,0,1,Vehicles,South Africa,Mozambique,0
TBML00000006,22946,50000.0,50671.03,1.013421,0,0,Fuel,South Africa,United Arab Emirates,1
TBML00000007,24634,100000.0,76289.05,0.762891,0,1,Machinery,United Kingdom,Mauritius,1
TBML00000008,39337,50000.0,58496.32,1.169926,0,0,Machinery,United Arab Emirates,Botswana,1
TBML00000009,36471,10000.0,14490.82,1.449082,1,0,Textiles,China,Mauritius,1
TBML00000010,25741,250000.0,291921.61,1.167686,0,0,Vehicles,Mauritius,Botswana,1
TBML00000011,32313,250000.0,199857.59,0.79943,0,1,Chemicals,Zimbabwe,China,1
TBML00000012,21417,250000.0,296567.22,1.186269,0,0,Electronics,Mauritius,Mozambique,1
TBML00000013,7233,25000.0,16617.32,0.664693,0,1,Machinery,United Kingdom,Mozambique,1
TBML00000014,18170,25000.0,24640.98,0.985639,0,0,Textiles,South Africa,United Arab Emirates,1
TBML00000015,28083,250000.0,149167.84,0.596671,0,1,Textiles,Zimbabwe,Mozambique,0
TBML00000016,33895,100000.0,126460.1,1.264601,1,0,Textiles,India,China,1
TBML00000017,47993,25000.0,17392.59,0.695704,0,1,Chemicals,United Kingdom,United Kingdom,1
TBML00000018,37757,50000.0,37829.77,0.756595,0,1,Fuel,United Arab Emirates,Kenya,1
TBML00000019,16950,50000.0,47398.11,0.947962,0,0,Electronics,China,China,1
TBML00000020,10806,10000.0,12728.6,1.27286,1,0,Chemicals,United Kingdom,China,1
TBML00000021,19363,100000.0,96215.02,0.96215,0,0,Fuel,United Arab Emirates,China,1
TBML00000022,23903,10000.0,6055.22,0.605522,0,1,Vehicles,United Arab Emirates,United Arab Emirates,1
TBML00000023,22120,100000.0,133373.03,1.33373,1,0,Vehicles,China,Mozambique,1
TBML00000024,24602,50000.0,53104.8,1.062096,0,0,Textiles,Mauritius,United Kingdom,1
TBML00000025,12400,10000.0,12592.73,1.259273,1,0,Fuel,South Africa,China,1
TBML00000026,12164,25000.0,23929.77,0.957191,0,0,Electronics,India,Mozambique,0
TBML00000027,23927,250000.0,218485.84,0.873943,0,0,Textiles,South Africa,Botswana,0
TBML00000028,17911,50000.0,25849.8,0.516996,0,1,Vehicles,South Africa,Botswana,0
TBML00000029,38061,100000.0,60949.08,0.609491,0,1,Machinery,United Arab Emirates,Mauritius,1
TBML00000030,38436,25000.0,19380.96,0.775238,0,1,Fuel,China,Mozambique,1
TBML00000031,27715,250000.0,283805.62,1.135222,0,0,Chemicals,China,Mozambique,1
TBML00000032,35194,50000.0,54801.04,1.096021,0,0,Chemicals,United Arab Emirates,United Kingdom,1
TBML00000033,43494,100000.0,54774.9,0.547749,0,1,Electronics,Zimbabwe,United Arab Emirates,1
TBML00000034,8450,250000.0,130653.09,0.522612,0,1,Electronics,India,United Arab Emirates,1
TBML00000035,43732,50000.0,26306.46,0.526129,0,1,Machinery,South Africa,United Kingdom,1
